Time,CO2
17-08-2020 16:44:51,438
17-08-2020 16:56:30,407
17-08-2020 17:08:09,407
17-08-2020 17:19:39,404
17-08-2020 17:31:08,403
17-08-2020 17:42:38,405
17-08-2020 17:54:08,405
17-08-2020 18:05:37,405
17-08-2020 18:17:07,405
17-08-2020 18:28:37,402
17-08-2020 18:40:07,402
17-08-2020 18:51:36,403
17-08-2020 19:03:07,401
17-08-2020 19:14:47,436
17-08-2020 19:26:25,443
17-08-2020 19:37:55,456
17-08-2020 19:49:30,470
17-08-2020 20:01:04,472
17-08-2020 20:12:33,472
17-08-2020 20:24:03,456
17-08-2020 20:35:33,426
17-08-2020 20:47:02,479
17-08-2020 20:58:35,533
17-08-2020 21:10:11,550
17-08-2020 21:21:41,589
17-08-2020 21:33:13,637
17-08-2020 21:44:48,836
17-08-2020 21:56:15,836
17-08-2020 22:07:43,915
17-08-2020 22:19:10,982
17-08-2020 22:30:37,1102
17-08-2020 22:42:05,1178
17-08-2020 22:53:32,1199
17-08-2020 23:05:00,1273
17-08-2020 23:16:27,1365
17-08-2020 23:27:55,1423
17-08-2020 23:39:22,1489
17-08-2020 23:50:50,1548
18-08-2020 00:02:17,1598
18-08-2020 00:13:50,1621
18-08-2020 00:25:23,1638
18-08-2020 00:36:50,1659
18-08-2020 00:48:17,1656
18-08-2020 00:59:45,1660
18-08-2020 01:11:12,1682
18-08-2020 01:22:39,1692
18-08-2020 01:34:07,1723
18-08-2020 01:45:34,1733
18-08-2020 01:57:02,1741
18-08-2020 02:08:29,1781
18-08-2020 02:19:56,1541
18-08-2020 02:31:24,1605
18-08-2020 02:42:51,1620
18-08-2020 02:54:19,1692
18-08-2020 03:05:46,1702
18-08-2020 03:17:14,1689
18-08-2020 03:28:46,1709
18-08-2020 03:40:17,1717
18-08-2020 03:51:45,1648
18-08-2020 04:03:12,1668
18-08-2020 04:14:40,1681
18-08-2020 04:26:07,1660
18-08-2020 04:37:34,1649
18-08-2020 04:49:02,1600
18-08-2020 05:00:29,1649
18-08-2020 05:11:57,1624
18-08-2020 05:23:24,1598
18-08-2020 05:34:52,1543
18-08-2020 05:46:19,1570
18-08-2020 05:57:47,1590
18-08-2020 06:09:14,1628
18-08-2020 06:20:49,1626
18-08-2020 06:32:21,1620
18-08-2020 06:43:57,1643
18-08-2020 06:55:24,1669
18-08-2020 07:06:52,1656
18-08-2020 07:18:22,1249
18-08-2020 07:29:56,876
18-08-2020 07:41:23,659
18-08-2020 07:53:00,539
18-08-2020 08:04:31,428
18-08-2020 08:15:58,409
18-08-2020 08:27:26,404
18-08-2020 08:38:53,564
18-08-2020 08:50:21,521
